"year"	"streamflow"	"nino"	"ivar"
1951	0.874843673687424	0.731651375535151	1
1952	1.93615411324786	-0.347170696635534	1
1953	0.822112700956451	0.415563377438219	1
1954	5.84620052401302	-1.24733433016972	1
1955	2.85650979344729	-1.92761066650577	1
1956	1.68983760683761	-0.862531557496176	1
1957	0.29087934981685	1.00651049445601	1
1958	2.07390897181522	0.0170176416035831	1
1959	2.61661838624339	-0.46398582166154	1
1960	1.23993613909239	-0.216612608448433	1
1962	1.52188651048026	-0.649515731571371	1
1963	1.72035648148148	0.920617021081647	1
1964	1.42046319190069	-1.2370271129525	1
1966	1.11142771927147	-0.285327393332258	1
1967	1.13253133903134	-0.563622258197004	1
1968	1.98009530168905	0.38464172578658	1
1969	2.95763751526252	0.700729723883511	1
1970	1.31872667378917	-0.938117813653332	1
1971	0.900406288156288	-0.962167994031641	1
1972	1.58205568274318	1.81047343739862	1
1973	2.93485144485144	-1.86576736320249	1
1974	1.40688619251119	-0.71479478081853	1
1975	1.49090053927554	-1.56685806390332	1
1976	1.39421405677656	0.803801896055641	1
1977	0.732558608058608	0.724779893954602	1
1978	2.15884958791209	-0.329991997837774	1
1979	1.65509797262922	0.432742076235979	1
1980	0.187851737382987	-0.0173397456847221	1
1981	1.2979573539886	-0.106668965002972	1
1982	0.290583651302401	2.05784665061172	1
1983	1.45576152319902	-0.81786695299066	1
1984	2.65780851902727	-0.55331504097979	1
1985	2.81480508496134	-0.333427743781654	1
1986	1.28061455789581	1.00651049445601	1
1987	1.10394753510379	1.55966448854885	1
1988	1.86771192002442	-1.49814328932671	1
1989	1.1236080458893	-0.192562438377342	1
1990	2.23167759208384	0.388077461423245	1
1992	0.742512922262922	-0.0207754813213876	1
1993	1.38318680046805	0.343412856917729	1
1994	0.129225656288156	1.00651049445601	1
1995	0.831239672364672	-0.766330866904595	1
1996	1.904085495523	-0.247534260100069	1
1997	0.485412087912088	2.57664325741625	1
1998	3.16090519434269	-1.2370271129525	1
1999	2.66685033831909	-1.14082642236092	1
2000	3.3042434498372	-0.484600256095965	1
2001	1.5737168120155	-0.0448256616996964	1
2003	0.342991389397639	0.556428682842531	1
2004	1.04529719932845	0.954974408369953	1
2005	1.23703579059829	-0.0379541801191474	1
2006	0.128710699023199	0.985896060021589	1
2007	0.61864590964591	-1.18549102686644	1
2008	1.92563534035409	-0.158205051089037	1
2009	0.550985767704518	1.24014075481524	1
2010	2.50676542785918	-1.49127180774616	1
2011	1.21910144485145	-0.838481387425085	1
2012	0.388542913105413	0.477406680741495	1
2013	0.239185274216524	0.0238891231841284	1
2014	0.274869836182336	0.714472676737391	1
