"lon" "lat"
152.04378 -26.30122
152.36875 -25.26625
152.40875 -26.99639
152.8403 -26.83875
152.89125 -28.24625
152.57125 -28.14799
152.60839 -28.21911
153.04547 -28.05297
153.15875 -27.99625
153.42301 -28.17875
153.40375 -28.14922
152.214 -29.7635
152.02886 -30.47636
151.76625 -31.05125
151.71625 -31.51625
151.31495 -31.57995
151.11432 -29.91682
151.36244 -30.46744
150.7785 -30.6785
152.33307 -28.35375
152.14136 -28.37136
