"year"	"streamflow"	"station"	"nino"	"ivar"
1995	0.0458553113553114	2	-0.766330866904595	1
1996	0.115008526234568	2	-0.247534260100069	1
1997	0.00913958842083841	2	2.57664325741625	1
1998	0.184670444139194	2	-1.2370271129525	1
1999	0.448402243589743	2	-1.14082642236092	1
2000	0.970199074074074	2	-0.484600256095965	1
2001	0.0226710482804233	2	-0.0448256616996964	1
2004	0.226755252849003	2	0.954974408369953	1
2005	0.201735056584362	2	-0.0379541801191474	1
2006	0.00283857346357347	2	0.985896060021589	1
2007	0.168237891737892	2	-1.18549102686644	1
2008	0.18112031949532	2	-0.158205051089037	1
2009	0.00174835927960928	2	1.24014075481524	1
2010	0.156404978123728	2	-1.49127180774616	1
2011	0.0731039377289377	2	-0.838481387425085	1
2012	0.0947408170533171	2	0.477406680741495	1
2013	0.0115911426536426	2	0.0238891231841284	1
2014	0.018092032967033	2	0.714472676737391	1
1962	1.78584921906797	3	-0.649515731571371	1
1963	2.43999313186813	3	0.920617021081647	1
1964	3.62882262413512	3	-1.2370271129525	1
1965	1.92695225376475	3	1.63181500906934	1
1966	2.61830223595849	3	-0.285327393332258	1
1967	3.49520173229548	3	-0.563622258197004	1
1968	0.909911439255189	3	0.38464172578658	1
1969	5.38587763278388	3	0.700729723883511	1
1970	1.18565926434676	3	-0.938117813653332	1
1971	3.61050919566544	3	-0.962167994031641	1
1972	21.5797085749898	3	1.81047343739862	1
1973	12.3698695054945	3	-1.86576736320249	1
1974	7.44017742673993	3	-0.71479478081853	1
1975	5.55451493182743	3	-1.56685806390332	1
1976	11.5352588268213	3	0.803801896055641	1
1977	0.354248995217745	3	0.724779893954602	1
1978	7.73349094424094	3	-0.329991997837774	1
1979	0.606198405349794	3	0.432742076235979	1
1980	0.26960333994709	3	-0.0173397456847221	1
1981	0.561558201058201	3	-0.106668965002972	1
1982	1.38573687423687	3	2.05784665061172	1
1983	9.48184994403744	3	-0.81786695299066	1
1984	7.92790611009361	3	-0.55331504097979	1
1985	1.12407010582011	3	-0.333427743781654	1
1986	0.463792836792837	3	1.00651049445601	1
1987	0.795527625152625	3	1.55966448854885	1
1988	1.87456210571836	3	-1.49814328932671	1
1989	7.96169534465021	3	-0.192562438377342	1
1990	1.95008694701646	3	0.388077461423245	1
1991	0.0163043854293854	3	1.05461084490541	1
1992	1.41345662901913	3	-0.0207754813213876	1
1993	0.0595506461131461	3	0.343412856917729	1
1994	0.000557590557590558	3	1.00651049445601	1
1995	1.06394848901099	3	-0.766330866904595	1
1996	0.812908424908425	3	-0.247534260100069	1
1997	2.89987789987789e-05	3	2.57664325741625	1
1998	5.13957909798535	3	-1.2370271129525	1
1999	4.42949858539095	3	-1.14082642236092	1
2000	2.8912939051689	3	-0.484600256095965	1
2001	1.31177973646724	3	-0.0448256616996964	1
2002	0.00415432946682947	3	1.50812840246278	1
2003	0.00541139403292181	3	0.556428682842531	1
2004	0.139504731379731	3	0.954974408369953	1
2005	0.1955567002442	3	-0.0379541801191474	1
2007	0.392508432539682	3	-1.18549102686644	1
2008	1.89279366351241	3	-0.158205051089037	1
2009	0.0286232320919821	3	1.24014075481524	1
2010	30.4616603072853	3	-1.49127180774616	1
2011	1.76114018620269	3	-0.838481387425085	1
2012	1.26977327533578	3	0.477406680741495	1
2013	1.62964181420431	3	0.0238891231841284	1
2014	0.137333167989418	3	0.714472676737391	1
1951	0.19019257973251	4	0.731651375535151	1
1952	0.888749071530322	4	-0.347170696635534	1
1953	0.609582303113553	4	0.415563377438219	1
1954	1.23771503612129	4	-1.24733433016972	1
1955	0.212067862654321	4	-1.92761066650577	1
1956	0.113878497659748	4	-0.862531557496176	1
